City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Hibbing,US,2022-01-27 05:05:32,47.4272,-92.9377,26.1,86,100,3.44
157,Sao Filipe,CV,2022-01-27 05:05:33,14.8961,-24.4956,73.38,73,95,13.13
158,Houma,US,2022-01-27 05:05:33,29.5958,-90.7195,46.99,68,2,6.55
159,Cape Town,ZA,2022-01-27 05:05:02,-33.9258,18.4232,64.35,83,0,7.07
160,Tahta,EG,2022-01-27 05:03:38,26.7693,31.5021,40.5,61,0,4.88
161,Calatayud,ES,2022-01-27 05:05:34,41.3535,-1.6432,37.98,67,0,0.45
162,Norman Wells,CA,2022-01-27 05:01:00,65.282,-126.8329,-1.1,94,72,1.41
163,Iqaluit,CA,2022-01-27 05:01:57,63.7506,-68.5145,-35.28,99,99,2.89
164,Maceio,BR,2022-01-27 05:05:35,-9.6658,-35.7353,76.44,94,40,8.05
165,Manggar,ID,2022-01-27 05:05:35,-2.8833,108.2667,86.79,61,99,10.71
166,Rio Verde De Mato Grosso,BR,2022-01-27 05:05:35,-18.9181,-54.8442,75.79,79,88,3.71
167,Yarmouth,US,2022-01-27 05:05:36,41.7057,-70.2286,21.96,65,0,18.99
168,Neftegorsk,RU,2022-01-27 05:05:36,52.802,51.166,4.03,98,93,7.56
169,Sayyan,YE,2022-01-27 05:05:37,15.1718,44.3244,53.22,43,1,0.54
170,Westport,US,2022-01-27 05:01:03,41.1415,-73.3579,21.97,57,4,4.0
171,Kaitangata,NZ,2022-01-27 05:05:37,-46.2817,169.8464,56.93,55,67,12.28
172,Walvis Bay,NA,2022-01-27 05:05:38,-22.9575,14.5053,67.08,86,28,1.74
173,Zhigansk,RU,2022-01-27 05:05:38,66.7697,123.3711,-18.56,99,69,6.69
174,Arraial Do Cabo,BR,2022-01-27 05:05:38,-22.9661,-42.0278,74.61,88,21,21.16
175,Tuatapere,NZ,2022-01-27 05:05:39,-46.1333,167.6833,57.81,51,33,7.4
176,Verkhnyaya Maksakovka,RU,2022-01-27 05:05:39,61.635,50.9674,5.02,85,75,4.47
177,Bratsk,RU,2022-01-27 05:05:40,56.1325,101.6142,0.34,94,100,2.73
178,Isiro,CD,2022-01-27 05:05:40,2.7739,27.616,66.18,51,100,2.04
179,Kahului,US,2022-01-27 05:05:40,20.8947,-156.47,74.84,76,20,8.05
180,Portland,US,2022-01-27 05:01:32,45.5234,-122.6762,40.86,75,18,1.99
181,Ponta Delgada,PT,2022-01-27 05:02:26,37.7333,-25.6667,58.5,67,75,8.05
182,Tuktoyaktuk,CA,2022-01-27 05:05:41,69.4541,-133.0374,-9.78,95,97,16.06
183,Jacqueville,CI,2022-01-27 05:06:42,5.2052,-4.4146,76.91,80,4,4.25
184,General Roca,AR,2022-01-27 05:06:42,-39.0333,-67.5833,68.4,36,2,15.32
185,Saint-Pierre,RE,2022-01-27 05:06:42,-21.3393,55.4781,82.04,50,0,4.61
186,College,US,2022-01-27 05:06:43,64.8569,-147.8028,-11.0,74,0,0.0
187,Chokurdakh,RU,2022-01-27 05:06:43,70.6333,147.9167,-27.08,95,32,12.75
188,Bhiwani,IN,2022-01-27 05:06:44,28.7833,76.1333,59.27,46,0,6.17
189,Along,IN,2022-01-27 05:06:44,28.1667,94.7667,54.61,88,100,1.92
190,Lefka,CY,2022-01-27 05:06:44,35.1106,32.8506,43.88,73,77,11.86
191,Luganville,VU,2022-01-27 05:06:45,-15.5333,167.1667,84.74,78,100,10.96
192,Adrar,MR,2022-01-27 05:06:45,20.5022,-10.0711,59.14,18,17,3.71
193,Jatiroto,ID,2022-01-27 05:06:46,-7.8833,111.1167,82.08,76,99,6.38
194,Basco,PH,2022-01-27 05:06:46,20.4487,121.9702,75.11,85,100,22.06
195,Lahad Datu,MY,2022-01-27 05:06:46,5.0268,118.327,84.7,69,74,4.27
196,Nouadhibou,MR,2022-01-27 05:06:47,20.931,-17.0347,61.65,81,0,18.68
197,Mbinga,TZ,2022-01-27 05:06:47,-10.9333,35.0167,64.06,98,100,2.64
198,Nagutskoye,RU,2022-01-27 05:06:48,44.4415,42.8762,25.02,90,96,2.86
199,Coquimbo,CL,2022-01-27 05:01:59,-29.9533,-71.3436,63.32,83,5,4.29
200,Aguada De Pasajeros,CU,2022-01-27 05:06:49,22.385,-80.8508,69.78,92,0,1.61
201,Pochutla,MX,2022-01-27 05:06:49,15.7432,-96.4661,76.05,75,32,3.89
202,Griffith,US,2022-01-27 05:06:49,41.5284,-87.4237,14.11,63,0,5.01
203,Bubaque,GW,2022-01-27 05:06:50,11.2833,-15.8333,78.15,62,84,5.48
204,Gondanglegi,ID,2022-01-27 05:05:19,-7.7479,112.0132,85.91,70,100,2.62
205,Avarua,CK,2022-01-27 05:06:50,-21.2078,-159.775,80.65,89,40,13.8
206,Te Anau,NZ,2022-01-27 05:06:51,-45.4167,167.7167,63.77,33,18,4.68
207,Lata,PT,2022-01-27 05:02:29,40.1629,-8.3327,48.06,77,54,5.5
208,Agua Branca,BR,2022-01-27 05:06:51,-5.8922,-42.6361,70.34,95,100,0.27
209,Suoyarvi,RU,2022-01-27 05:06:52,62.0833,32.35,17.55,94,100,9.78
210,Provideniya,RU,2022-01-27 05:06:52,64.3833,-173.3,-8.07,84,32,3.4
211,Rabo De Peixe,PT,2022-01-27 05:02:07,37.8,-25.5833,57.27,92,75,8.05
212,Carnarvon,AU,2022-01-27 05:06:53,-24.8667,113.6333,81.61,60,0,18.95
213,Yangshan,CN,2022-01-27 05:06:53,28.7615,115.0287,41.77,93,100,1.95
214,Riyadh,SA,2022-01-27 05:06:53,24.6877,46.7219,62.65,25,0,3.44
215,Gamba,GA,2022-01-27 05:06:54,-2.65,10.0,75.58,91,92,4.99
216,Fairbanks,US,2022-01-27 05:04:25,64.8378,-147.7164,-10.98,74,0,0.0
217,Guerrero Negro,MX,2022-01-27 05:06:54,27.9769,-114.0611,62.17,57,100,4.03
218,Los Llanos De Aridane,ES,2022-01-27 05:06:55,28.6585,-17.9182,55.15,74,75,8.99
219,Muros,ES,2022-01-27 05:06:55,42.7762,-9.0603,47.23,85,0,6.71
220,Dhari,IN,2022-01-27 05:06:56,21.3333,71.0167,66.16,33,0,12.68
221,Ushumun,RU,2022-01-27 05:06:56,52.7833,126.5333,4.93,68,4,10.47
222,Longyearbyen,SJ,2022-01-27 05:04:24,78.2186,15.6401,6.64,72,75,3.44
223,Mananjary,MG,2022-01-27 05:06:56,-21.2167,48.3333,76.5,74,31,2.19
224,Lavrentiya,RU,2022-01-27 05:06:57,65.5833,-171.0,-17.91,85,29,3.71
225,Winkler,CA,2022-01-27 05:02:25,49.1817,-97.941,30.92,88,100,15.35
226,Heidelberg,ZA,2022-01-27 05:06:57,-26.5048,28.3592,65.55,77,56,5.19
227,Rocha,UY,2022-01-27 05:04:32,-34.4833,-54.3333,65.46,70,98,15.55
228,Hobyo,SO,2022-01-27 05:06:58,5.3505,48.5268,76.33,64,50,16.06
229,Pontianak,ID,2022-01-27 05:06:58,-0.0333,109.3333,85.98,70,75,3.44
230,Isangel,VU,2022-01-27 05:07:59,-19.55,169.2667,83.7,77,100,4.63
231,Touros,BR,2022-01-27 05:07:59,-5.1989,-35.4608,76.1,81,99,8.79
232,San Lawrenz,MT,2022-01-27 05:08:00,36.0553,14.204,50.86,83,2,1.01
233,Belmonte,BR,2022-01-27 05:08:00,-15.8631,-38.8828,73.9,86,99,4.34
234,Caravelas,BR,2022-01-27 05:05:36,-17.7125,-39.2481,73.78,93,74,3.33
235,Bandarbeyla,SO,2022-01-27 05:08:01,9.4942,50.8122,73.96,67,93,14.92
236,Vaitape,PF,2022-01-27 05:08:01,-16.5167,-151.75,80.94,77,31,17.54
237,Quang Ngai,VN,2022-01-27 05:07:54,15.1167,108.8,80.02,64,76,5.35
238,Mityana,UG,2022-01-27 05:08:02,0.4175,32.0228,67.59,59,31,0.43
239,Chapleau,CA,2022-01-27 05:08:02,47.8405,-83.4034,13.51,88,100,19.48
