City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Camocim,BR,81.73,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
146,Saint-Pierre,RE,80.24,few clouds,-21.3393,55.4781,Lindsey Hôtel
147,Ejido,VE,76.03,broken clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
150,Carlsbad,US,70.68,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
151,Mogadishu,SO,77.67,clear sky,2.0371,45.3438,Hotel Juba
152,Tigre,AR,85.24,few clouds,-34.426,-58.5796,Puerto Delta Apartamentos
153,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,39 On Nile Guest House
159,Khartoum,SD,71.02,clear sky,15.5518,32.5324,Hotel China
160,Nizwa,OM,71.17,clear sky,22.9333,57.5333,Orient Apartments
162,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
164,Popondetta,PG,73.76,overcast clouds,-8.7537,148.2534,Timos Transit House
168,Coihaique,CL,67.95,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
170,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
173,Phan Thiet,VN,72.46,overcast clouds,10.9333,108.1,Hotel Saigon-PT
176,Itarema,BR,83.43,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
179,Ampanihy,MG,71.8,clear sky,-24.7,44.75,Angora Hotel
181,Cidreira,BR,74.66,broken clouds,-30.1811,-50.2056,Hotel Castelo
183,Varzea Da Palma,BR,83.25,overcast clouds,-17.5981,-44.7308,Casa Fernandes
184,Aquiraz,BR,86.09,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
187,Kruisfontein,ZA,67.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
188,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
190,Hervey Bay,AU,74.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
196,Sola,VU,82.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
197,Veraval,IN,68.0,clear sky,20.9,70.3667,Lords Inn Somnath
198,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
202,Emerald,AU,73.54,broken clouds,-23.5333,148.1667,The Irish Village
205,Mandiana,GN,85.3,scattered clouds,10.6333,-8.6833,Motels rouzo
206,Kaduna,NG,73.08,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
209,Hobyo,SO,77.32,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
210,Labuhan,ID,78.69,overcast clouds,-6.8844,112.2051,DoubleFAG
