City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Aykhal,RU,2022-01-29 18:33:18,66.0,111.5,-19.71,99,5,4.83,clear sky
208,Igarka,RU,2022-01-29 18:36:55,67.4667,86.5833,1.74,95,100,13.09,overcast clouds
209,Hobyo,SO,2022-01-29 18:32:01,5.3505,48.5268,77.32,76,13,24.67,few clouds
210,Labuhan,ID,2022-01-29 18:36:55,-6.8844,112.2051,78.69,84,100,6.96,overcast clouds
211,Linxia,CN,2022-01-29 18:36:56,35.6003,103.2064,8.49,84,17,3.2,few clouds
212,Chuy,UY,2022-01-29 18:36:56,-33.6971,-53.4616,76.75,53,27,11.43,scattered clouds
213,Canutama,BR,2022-01-29 18:36:57,-6.5339,-64.3831,80.89,77,100,1.83,moderate rain
214,Ostrovnoy,RU,2022-01-29 18:36:57,68.0531,39.5131,12.76,90,100,14.14,overcast clouds
215,Angren,UZ,2022-01-29 18:36:57,41.0167,70.1436,29.35,58,96,6.06,overcast clouds
216,Codrington,AU,2022-01-29 18:36:58,-38.2667,141.9667,60.67,89,72,5.08,broken clouds
217,Vao,NC,2022-01-29 18:36:58,-22.6667,167.4833,78.31,86,98,10.04,overcast clouds
218,Zaragoza,ES,2022-01-29 18:36:58,41.6561,-0.8773,51.03,51,0,1.99,clear sky
219,Puerto Narino,CO,2022-01-29 18:36:59,-3.7703,-70.3831,89.55,36,25,5.64,scattered clouds
220,Port Moresby,PG,2022-01-29 18:36:59,-9.4431,147.1797,76.42,94,100,12.66,overcast clouds
221,Bytow,PL,2022-01-29 18:37:00,54.1706,17.4919,43.7,80,100,26.69,light rain
222,Ginir,ET,2022-01-29 18:37:00,7.1333,40.7,61.09,16,4,3.85,clear sky
223,Peace River,CA,2022-01-29 18:34:30,56.2501,-117.286,25.11,93,75,5.75,broken clouds
224,Ahuimanu,US,2022-01-29 18:37:01,21.4447,-157.8378,76.35,70,20,3.0,few clouds
225,Lucea,JM,2022-01-29 18:37:06,18.451,-78.1736,82.26,63,1,10.16,clear sky
226,Nelson,NZ,2022-01-29 18:37:06,-41.2833,173.2833,56.7,84,5,4.0,clear sky
227,Keetmanshoop,,2022-01-29 18:37:07,-26.5833,18.1333,84.49,31,100,1.05,overcast clouds
228,Esmeraldas,BR,2022-01-29 18:37:07,-19.7625,-44.3139,83.44,74,75,7.07,light rain
229,Tacna,PE,2022-01-29 18:37:08,-18.0056,-70.2483,75.4,44,0,14.97,clear sky
230,Abu Dhabi,AE,2022-01-29 18:37:08,24.4667,54.3667,68.11,74,0,4.61,clear sky
231,La Ronge,CA,2022-01-29 18:37:08,55.1001,-105.2842,8.85,66,100,4.61,overcast clouds
232,Torbay,CA,2022-01-29 18:35:30,47.6666,-52.7314,34.29,89,100,17.27,light snow
233,Concordia,AR,2022-01-29 18:33:51,-31.393,-58.0209,84.27,48,20,18.99,few clouds
234,Anadyr,RU,2022-01-29 18:37:09,64.75,177.4833,-8.9,77,40,0.0,fog
235,Vila Franca Do Campo,PT,2022-01-29 18:37:10,37.7167,-25.4333,63.19,75,40,8.75,scattered clouds
236,Nassjo,SE,2022-01-29 18:37:10,57.6531,14.6968,41.92,88,100,20.15,light rain
237,Mount Isa,AU,2022-01-29 18:37:10,-20.7333,139.5,74.97,100,100,6.91,overcast clouds
238,Ventsy,RU,2022-01-29 18:37:11,45.3764,40.8358,35.28,97,94,12.91,snow
239,Slave Lake,CA,2022-01-29 18:37:11,55.2834,-114.769,22.98,86,0,3.44,clear sky
240,Lorca,ES,2022-01-29 18:37:11,37.6712,-1.7017,53.49,39,0,1.5,clear sky
241,Stity,CZ,2022-01-29 18:37:12,49.9612,16.7658,38.08,96,100,20.13,overcast clouds
242,Severnoye,RU,2022-01-29 18:37:12,56.3491,78.3619,-5.57,98,91,5.57,overcast clouds
243,Nanortalik,GL,2022-01-29 18:37:13,60.1432,-45.2371,20.21,70,100,14.03,light snow
244,Skelleftea,SE,2022-01-29 18:37:13,64.7507,20.9528,26.96,69,100,1.99,overcast clouds
245,Port-Cartier,CA,2022-01-29 18:37:14,50.0334,-66.8654,3.74,79,100,9.73,overcast clouds
246,Kununurra,AU,2022-01-29 18:34:43,-15.7667,128.7333,78.78,94,40,4.61,light rain
247,Constitucion,CL,2022-01-29 18:37:14,-35.3333,-72.4167,66.15,73,51,10.6,broken clouds
248,Shelburne,CA,2022-01-29 18:36:11,44.0787,-80.2041,10.85,48,0,5.66,clear sky
249,Shahreza,IR,2022-01-29 18:37:15,32.0339,51.8794,37.13,32,0,5.14,clear sky
250,Jardim,BR,2022-01-29 18:37:15,-21.4803,-56.1381,90.46,44,53,2.08,broken clouds
251,Banda Aceh,ID,2022-01-29 18:37:16,5.5577,95.3222,79.52,81,65,6.71,broken clouds
252,Sao Joao Da Barra,BR,2022-01-29 18:37:16,-21.6403,-41.0511,87.89,82,27,16.28,scattered clouds
253,Thinadhoo,MV,2022-01-29 18:34:46,0.5333,72.9333,81.79,71,100,5.95,overcast clouds
